ID,method,signature,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,longMethod,longParam,messageChains,featureEnvy
1,com.puppycrawl.tools.checkstyle.Configuration:getHeaderIgnoreLineNo,Lcom/puppycrawl/tools/checkstyle/Configuration.getHeaderIgnoreLineNo()I,1,0,0,0,0.5,0,2,4,0,0.5934335589408875,0.7071067811865476,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckStyleTask:setIgnoreWhitespace,Lcom/puppycrawl/tools/checkstyle/CheckStyleTask.setIgnoreWhitespace(Z)V,2,1,0,1,0.5,0,1,4,0,0.9211431741714478,0.816496580927726,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:setPublicMemberPat,Lcom/puppycrawl/tools/checkstyle/Configuration.setPublicMemberPat(Ljava/lang/String;)V,3,0,0,1,0.6,0,3,5,0,0.9493334293365479,0.649519052838329,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckStyleTask:setAllowTabs,Lcom/puppycrawl/tools/checkstyle/CheckStyleTask.setAllowTabs(Z)V,1,1,0,1,0.5,0,1,4,0,0.9451300501823425,0.5940885257860046,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckStyleTask:setMaxLineLen,Lcom/puppycrawl/tools/checkstyle/CheckStyleTask.setMaxLineLen(I)V,0,1,0,1,0.5,0,1,4,0,0.9520026445388794,0.681005224606999,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Verifier:verifyWSAfter,Lcom/puppycrawl/tools/checkstyle/Verifier.verifyWSAfter(IILcom/puppycrawl/tools/checkstyle/MyToken;)V,0,7,0,3,0.5,2,4,10,2,0.09079715609550476,0.5028948456749698,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.PropertyCacheFile:alreadyChecked,Lcom/puppycrawl/tools/checkstyle/PropertyCacheFile.alreadyChecked(Ljava/lang/String;J)Z,1,3,0,2,0.8,0,4,5,0,0.7497064471244812,0.4893545230443332,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.JavadocTag:isReturnTag,Lcom/puppycrawl/tools/checkstyle/JavadocTag.isReturnTag()Z,1,2,0,0,0.5,0,2,4,0,0.9702942967414856,0.7999999999999998,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.DefaultLogger:getOutputStream,Lcom/puppycrawl/tools/checkstyle/DefaultLogger.getOutputStream()Ljava/io/OutputStream;,1,0,0,0,0.5,0,2,4,0,0.9685959815979004,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Verifier:fromPackage,Lcom/puppycrawl/tools/checkstyle/Verifier.fromPackage(Ljava/lang/String;Ljava/lang/String;)Z,1,4,0,2,0.3333333333333333,2,5,15,2,0.34084686636924744,0.09065968278232492,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.XMLLogger:encode,Lcom/puppycrawl/tools/checkstyle/XMLLogger.encode(Ljava/lang/String;)Ljava/lang/String;,2,7,0,1,0.11764705882352941,7,7,34,1,0.005888149607926607,0.31098520678556146,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Verifier:verifyConstructorLength,Lcom/puppycrawl/tools/checkstyle/Verifier.verifyConstructorLength(II)V,0,2,0,2,0.6666666666666666,1,2,6,1,0.44221439957618713,0.7609136448901096,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:isIgnoreCastWhitespace,Lcom/puppycrawl/tools/checkstyle/Configuration.isIgnoreCastWhitespace()Z,1,0,0,0,0.5,0,3,4,0,0.5490679144859314,0.5163977794943222,0,0,0,0,0,0,0,0,0,0
